MSA,MSA_old,PINCPC,POP,PINC,EMP,cbsa,RGDP,RGDPPC,D2I_Low,D2I_H,WRLURI,elasticity,FE_Y_G2,FE_Y_G3,FE_Y_G4,FE_NoY_G2,FE_NoY_G3,FE_NoY_G4,PINCPC_Top10,FE_Y_PoorG3_1,FE_NoY_PoorG3_1
"Abilene, TX","Abilene, TX",40862,170.516,6967607,102.84,10180,6565925,38506.21056,1.37,1.49,0.10083067,3.0948513,2,3,4,2,2,4,0,0,0
"Akron, OH","Akron, OH",47343,704.367,33346841,428.89,10420,32374943,45963.17403,1.205,1.315,0.067560114,2.5854928,2,3,3,2,3,3,0,0,0
"Albany, GA","Albany, GA",36522,148.113,5409425,81.997,10500,5224058,35270.75949,1.1175,1.2325,-0.49810675,3.3922868,2,3,4,2,3,4,0,0,0
"Albany, OR","Albany, OR",40865,124.977,5107152,61.617,10540,4210211,33687.88657,1.63,1.81,,,1,2,2,1,1,1,0,0,0
"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",56264,882.13,49632513,570.825,10580,52128025,59093.35926,1.085,1.205,-0.09178428,1.700388,1,1,1,1,1,1,1,0,0
"Albuquerque, NM","Albuquerque, NM",40715,912.897,37168752,503.702,10740,37669706,41263.91696,1.63,1.81,0.373471,2.11238,1,2,1,2,1,2,0,0,0
"Alexandria, LA","Alexandria, LA",42200,153.604,6482090,81.146,10780,5598158,36445.39205,1.315,1.43,-1.6766891,7.1480856,1,2,2,2,2,4,0,0,0
"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",51236,838.081,42940245,473.665,10900,39570402,47215.48633,1.49,1.63,0.022797078,1.8622904,1,2,1,1,1,1,0,0,0
"Altoona, PA","Altoona, PA",44160,123.175,5439427,75.601,11020,5260675,42708.95068,1.02,1.15,0.37206283,2.1776206,1,2,2,2,1,1,0,0,0
"Amarillo, TX","Amarillo, TX",44111,264.955,11687486,164.761,11100,12185359,45990.29647,1.1175,1.2325,-0.3986942,3.4720654,2,3,3,2,3,3,0,0,0
"Ames, IA","Ames, IA",41321,123.736,5112937,77.718,11180,5633048,45524.73007,0.6375,1.0525,,,2,2,2,2,2,2,0,0,0
"Anchorage, AK","Anchorage, AK",58093,400.647,23274975,242.789,11260,22194342,55396.25156,1.81,2.1,,,2,3,2,2,1,1,1,0,0
"Ann Arbor, MI","Ann Arbor, MI",56729,369.208,20944911,266.796,11460,21313699,57728.16136,0.8925,1.1175,0.30975512,2.2907684,2,3,4,2,2,4,1,0,0
"Anniston-Oxford, AL","Anniston-Oxford-Jacksonville, AL",35721,114.664,4095935,58.628,11500,3861148,33673.58543,1.26,1.37,,,1,2,2,1,1,1,0,0,1
"Appleton, WI","Appleton, WI",49292,236.058,11635733,155.134,11540,11548960,48924.24743,0.99,1.2,-0.15223685,2.2756798,1,2,2,2,2,2,0,0,0
"Asheville, NC","Asheville, NC",43265,455.255,19696720,273.581,11700,17323369,38052.01261,1.81,2.1,-0.61086994,1.5458176,1,2,2,1,1,1,0,0,0
"Athens-Clarke County, GA","Athens-Clarke County, GA",38884,208.997,8126567,126.066,12020,8730445,41773.06373,1.205,1.315,,,2,3,3,2,3,3,0,0,0
"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Roswell, GA",50269,5874.249,295294501,3774.198,12060,348681584,59357.64453,1.4025,1.53,0.034925,2.5536988,2,3,3,2,3,3,0,0,0
"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ",46549,266.328,12397367,164.114,12100,12424734,46652.00054,1.26,1.3725,0.68825674,1.1185694,2,2,2,2,1,1,0,0,0
"Auburn-Opelika, AL","Auburn-Opelika, AL",36437,161.641,5889666,83.721,12220,5897678,36486.27514,1.81,2.1,-1.1937114,5.2154036,2,3,3,2,3,3,0,0,0
"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC",40502,600.006,24301614,318.487,12260,24254227,40423.30743,1.46,1.595,-1.091925,3.568282,2,3,3,1,1,1,0,0,0
"Austin-Round Rock-Georgetown, TX","Austin-Round Rock, TX",55530,2115.23,117458116,1449.768,12420,127337977,60200.53469,1.315,1.43,-0.2833971,3.002909,2,2,2,1,1,1,0,0,0
"Bakersfield, CA","Bakersfield, CA",38467,888.988,34196499,412.04,12540,50226164,56498.13496,1.63,1.81,0.3953429,1.6380138,1,1,1,1,1,1,0,0,0
"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",59570,2798.587,166712892,1837.907,12580,178407243,63749.043,1.595,1.765,1.6010959,1.2349458,2,3,4,2,3,3,1,0,0
"Bangor, ME","Bangor, ME",39976,151.19,6044013,90.783,12620,5856821,38738.15067,1.2875,1.4,0.5923235,2.324309,2,3,3,2,2,4,0,0,0
"Barnstable Town, MA","Barnstable Town, MA",70777,213.482,15109606,152.68,12700,12192071,57110.53391,2.2175,2.57,4.312253,1.0065495,1,2,1,1,1,1,1,0,0
"Baton Rouge, LA","Baton Rouge, LA",45865,853.762,39158059,530.726,12940,49456680,57927.94713,1.205,1.315,-0.813082,1.7378802,2,3,3,2,2,4,0,0,0
"Battle Creek, MI","Battle Creek, MI",38608,134.358,5187262,70.88,12980,5609810,41752.70546,0.765,1.085,,,2,3,4,2,2,4,0,0,0
"Bay City, MI","Bay City, MI",40192,104.189,4187549,46.766,13020,3468934,33294.62803,1.4,1.525,,,2,3,4,2,3,4,0,0,0
"Beaumont-Port Arthur, TX","Beaumont-Port Arthur, TX",42728,398.686,17035245,210.78,13140,28069251,70404.40597,0.51,1.02,-0.6372842,2.4948409,1,2,3,1,1,1,0,0,0
"Beckley, WV","Beckley, WV",36477,118.639,4327543,53.715,13220,3746074,31575.40101,1.4,1.525,,,2,2,2,2,2,2,0,0,0
"Bellingham, WA","Bellingham, WA",46719,221.65,10355271,126.487,13380,13306016,60031.65351,1.955,2.335,,,2,3,4,2,3,3,0,0,0
"Bend, OR","Bend-Redmond, OR",53033,186.807,9906980,126.915,13460,7892078,42247.22842,2.1,2.57,,,2,3,4,1,1,1,0,0,0
"Billings, MT","Billings, MT",49558,179.372,8889336,120.39,13740,9565917,53330.04594,1.56,1.72,-0.1934254,3.06213,2,2,2,1,2,1,0,0,0
"Binghamton, NY","Binghamton, NY",43201,241.609,10437731,127.064,13780,10724610,44388.28852,1.02,1.15,-0.80459076,2.2594266,1,1,1,1,1,1,0,0,0
"Birmingham-Hoover, AL","Birmingham-Hoover, AL",48618,1085.75,52786758,658.141,13820,54192007,49912.04881,1.315,1.43,-0.23494875,2.144764,2,3,3,2,3,4,0,0,0
"Bismarck, ND","Bismarck, ND",54507,128.001,6976961,94.103,13900,6882276,53767.36119,1.315,1.43,-0.3023023,3.464907,2,3,4,2,3,3,0,0,0
"Blacksburg-Christiansburg, VA","Blacksburg-Christiansburg-Radford, VA",36723,166.907,6129292,87.847,13980,6766394,40539.90546,1.2875,1.4,,,1,2,2,1,1,3,0,0,1
"Bloomington, IL","Bloomington, IL",47247,172.845,8166372,112.014,14010,11826318,68421.52217,0.99,1.2,-0.20057786,3.4024215,1,2,2,2,2,1,0,0,0
"Bloomington, IN","Bloomington, IN",40079,167.513,6713796,97.365,14020,6420432,38327.96261,1.2325,1.3425,,,1,2,2,1,1,1,0,0,0
"Bloomsburg-Berwick, PA","Bloomsburg-Berwick, PA",43692,83.924,3666836,52.947,14100,3962275,47212.65669,0.51,1.02,,,1,1,1,1,1,1,0,0,0
"Boise City, ID","Boise City, ID",44062,710.08,31287639,428.223,14260,29709413,41839.52935,1.765,2.0275,-0.4626847,1.6927996,1,2,2,1,1,1,0,0,0
"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH",74779,4844.597,362272886,3618.955,14460,399360729,82434.25181,1.1725,1.2875,1.7025069,0.8581065,1,1,1,1,1,1,1,0,0
"Boulder, CO","Boulder, CO",69298,324.073,22457556,269.27,14500,24607654,75932.44115,1.49,1.63,3.121081,1.2232325,1,1,1,1,1,1,1,0,0
"Bowling Green, KY","Bowling Green, KY",35863,174.962,6274681,101.561,14540,6254353,35746.92219,1.315,1.43,,,2,3,4,2,3,4,0,0,0
"Bremerton-Silverdale-Port Orchard, WA","Bremerton-Silverdale, WA",52833,266.55,14082667,132.502,14740,11035875,41402.64491,2.57,,0.57227755,1.4866295,2,3,4,2,3,3,0,0,0
"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT",112769,943.457,106392305,659.847,14860,77609152,82260.4019,1.685,1.91,,,2,3,4,2,3,3,1,0,0
"Brownsville-Harlingen, TX","Brownsville-Harlingen, TX",27427,423.181,11606636,192.721,15180,9737643,23010.58649,1.1175,1.2325,-0.95578474,2.3966222,2,3,3,2,3,3,0,0,0
"Brunswick, GA","Brunswick, GA",39058,117.728,4598165,59.742,15260,3824135,32482.79933,1.72,1.955,,,2,3,4,2,3,3,0,0,0
"Buffalo-Cheektowaga, NY","Buffalo-Cheektowaga-Niagara Falls, NY",48879,1129.66,55216894,670.999,15380,59746005,52888.48415,0.765,1.085,-0.23118621,1.82699,1,1,1,1,1,1,0,0,0
"Burlington, NC","Burlington, NC",38141,163.529,6237219,82.464,15500,5200654,31802.64051,1.675,1.8825,,,1,2,1,1,1,1,0,0,0
"Burlington-South Burlington, VT","Burlington-South Burlington, VT",55445,218.881,12135868,165.129,15540,12125000,55395.3975,1.315,1.43,1.1774004,1.5618443,1,2,1,2,2,2,0,0,0
"California-Lexington Park, MD","California-Lexington Park, MD",54446,112.413,6120472,61.186,15680,6402262,56953.03924,2.1,2.57,,,2,3,3,2,3,3,0,0,0
"Canton-Massillon, OH","Canton-Massillon, OH",42937,399.418,17149910,221.673,15940,18134746,45402.92626,1.4,1.525,-0.80701536,3.0307305,2,3,4,2,3,4,0,0,0
"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL",48872,739.506,36140942,379.209,15980,26207287,35438.91057,2.0275,2.4525,-0.14938621,1.2812364,2,3,4,2,3,4,0,0,0
"Cape Girardeau, MO-IL","Cape Girardeau, MO-IL",41882,96.873,4057266,60.492,16020,3913734,40400.66892,1.2325,1.345,,,1,2,1,1,1,2,0,0,0
"Carbondale-Marion, IL","Carbondale-Marion, IL",38782,137.49,5332144,76.491,16060,5589686,40655.21856,0.51,1.02,,,2,3,3,2,2,4,0,0,0
"Carson City, NV","Carson City, NV",48065,54.608,2624755,39.441,16180,3156084,57795.26809,1.1125,1.2325,,,1,2,2,1,2,2,0,0,0
"Casper, WY","Casper, WY",62751,79.556,4992181,53.892,16220,5010582,62981.82412,1.46,1.595,-0.8195934,4.5381074,2,3,4,2,3,4,1,0,0
"Cedar Rapids, IA","Cedar Rapids, IA",49721,270.594,13454170,181.671,16300,16790507,62050.55175,1.1175,1.2325,-0.68610734,3.9480708,1,2,2,2,2,2,0,0,0
"Chambersburg-Waynesboro, PA","Chambersburg-Waynesboro, PA",44239,154.487,6834280,79.491,16540,5412963,35038.30743,1.49,1.63,,,1,2,2,1,1,1,0,0,0
"Champaign-Urbana, IL","Champaign-Urbana, IL",43644,226.56,9887895,134.912,16580,10435942,46062.5971,1.085,1.205,-0.39136863,3.629078,1,2,1,1,1,1,0,0,0
"Charleston, WV","Charleston, WV",41322,264.183,10916568,149.034,16620,11538213,43675.0775,0.51,1.02,-1.1493769,1.5718449,2,2,4,2,2,4,0,0,0
"Charleston-North Charleston, SC","Charleston-North Charleston, SC",48769,775.089,37800241,482.76,16700,36394735,46955.55607,1.8825,2.2175,-0.8060621,1.1964433,1,2,2,1,1,1,0,0,0
"Charlotte-Concord-Gastonia, NC-SC","Charlotte-Concord-Gastonia, NC-SC",50043,2549.741,127596524,1593.809,16740,143835956,56411.98694,1.4025,1.53,-0.5302106,3.0920334,1,2,2,1,1,1,0,0,0
"Charlottesville, VA","Charlottesville, VA",63300,216.559,13708201,153.057,16820,11937304,55122.64094,1.49,1.63,-0.9799601,3.4359303,1,2,2,1,1,1,1,0,0
"Chattanooga, TN-GA","Chattanooga, TN-GA",44198,556.081,24577673,327.239,16860,26693082,48002.14717,1.3425,1.46,-0.72058916,2.1130126,2,3,3,2,3,3,0,0,0
"Cheyenne, WY","Cheyenne, WY",49746,98.46,4898034,68.988,16940,5193647,52748.80154,1.765,2.0275,,,2,3,4,2,3,4,0,0,0
"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Elgin, IL-IN-WI",58014,9520.784,552339301,6090.516,16980,600421994,63064.34365,1.2325,1.345,0.43549547,1.2830582,1,2,2,2,1,3,1,0,0
"Chico, CA","Chico, CA",42653,229.207,9776376,114.64,17020,9002731,39277.73148,1.8825,2.2175,0.94018835,1.7394891,1,1,1,1,1,1,0,0,0
"Cincinnati, OH-KY-IN","Cincinnati, OH-KY-IN",51729,2202.597,113937980,1372.384,17140,122867631,55783.0738,1.1175,1.2325,-0.2768149,2.6028533,2,3,3,2,3,3,0,0,0
"Clarksville, TN-KY","Clarksville, TN-KY",39426,299.059,11790763,154.838,17300,11147716,37275.97564,2.1,2.57,,,2,3,3,2,3,4,0,0,0
"Cleveland, TN","Cleveland, TN",37063,122.082,4524685,62.495,17420,4671982,38269.2125,1.495,1.64,,,2,3,3,2,3,3,0,0,0
"Cleveland-Elyria, OH","Cleveland-Elyria, OH",51409,2058.549,105828387,1332.93,17460,117136194,56902.31032,1.02,1.15,-0.16035768,1.0249237,2,3,3,2,3,4,0,0,0
"Coeur d'Alene, ID","Coeur d'Alene, ID",43129,157.485,6792188,88.196,17660,5301432,33663.09172,2.57,,,,2,3,4,2,3,3,0,0,0
"College Station-Bryan, TX","College Station-Bryan, TX",37569,258.825,9723678,152.965,17780,12775982,49361.46817,1.02,1.15,0.38432527,2.7198987,1,3,3,2,3,3,0,0,0
"Colorado Springs, CO","Colorado Springs, CO",46708,725.438,33883990,426.55,17820,33146193,45691.28306,2.1,2.57,0.86787033,1.6681645,1,2,1,2,1,3,0,0,0
"Columbia, MO","Columbia, MO",44916,206.288,9265632,142.143,17860,8675553,42055.53886,1.15,1.26,-1.5323458,7.8417006,1,2,2,2,2,2,0,0,0
"Columbia, SC","Columbia, SC",43750,825.11,36098903,505.636,17900,38014141,46071.60379,1.46,1.595,-0.7645787,2.640273,1,2,2,1,1,1,0,0,0
"Columbus, GA-AL","Columbus, GA-AL",39407,315.872,12447463,179.873,17980,13232794,41892.89966,1.605,1.7925,-0.8269074,3.8502142,2,3,3,2,3,3,0,0,0
"Columbus, IN","Columbus, IN",47987,82.429,3955556,61.301,18020,6063299,73557.83765,0.6375,1.0525,,,1,2,1,2,2,3,0,0,0
"Columbus, OH","Columbus, OH",49338,2082.475,102744546,1375.704,18140,112512486,54028.25292,1.1775,1.2875,0.25988513,2.7131891,2,3,3,2,3,3,0,0,0
"Corpus Christi, TX","Corpus Christi, TX",42389,428.237,18152655,251.653,18580,21165711,49425.22715,1.205,1.315,-0.24546725,1.6543641,2,3,3,2,3,3,0,0,0
"Corvallis, OR","Corvallis, OR",44519,91.567,4076498,51.317,18700,4484532,48975.41691,1.765,2.0275,0.0659792,2.811249,1,2,1,1,1,1,0,0,0
"Crestview-Fort Walton Beach-Destin, FL","Crestview-Fort Walton Beach-Destin, FL",49800,271.959,13543565,173.797,18880,12622410,46412.91518,2.1,2.57,-0.07139186,1.7463965,2,3,3,2,3,3,0,0,0
"Cumberland, MD-WV","Cumberland, MD-WV",38342,98.566,3779218,47.392,19060,3562958,36147.94148,1.345,1.465,,,2,3,3,2,3,4,0,0,0
"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",53391,7340.943,391942594,4948.247,19100,451414779,61492.75086,1.085,1.205,-0.25053227,2.4865007,2,2,3,2,1,3,0,0,0
"Dalton, GA","Dalton, GA",34984,143.872,5033165,80.027,19140,6823387,47426.78909,0.51,1.02,,,2,3,4,2,3,4,0,0,0
"Danville, IL","Danville, IL",37461,77.776,2913571,36.016,19180,3196706,41101.44518,0.51,1.02,,,2,2,3,2,2,4,0,0,0
"Daphne-Fairhope-Foley, AL","Daphne-Fairhope-Foley, AL",43989,212.619,9352917,111.99,19300,5525882,25989.59641,2.57,,,,2,3,3,2,3,4,0,0,0
"Davenport-Moline-Rock Island, IA-IL","Davenport-Moline-Rock Island, IA-IL",47295,381.854,18059747,230.323,19340,20339874,53266.1017,0.8925,1.1175,-0.91260684,4.1087456,2,2,2,2,2,2,0,0,0
"Dayton, OH","Dayton, OH",45751,803.713,36770689,482.446,19430,37959200,47229.79472,1.085,1.205,-0.5002998,3.705984,2,3,4,2,3,4,0,0,0
"Decatur, AL","Decatur, AL",37050,151.888,5627400,74.111,19460,5342321,35172.76546,1.3725,1.495,-0.98815924,3.8511612,2,3,4,2,3,3,0,0,0
"Decatur, IL","Decatur, IL",45425,105.533,4793880,62.255,19500,6238665,59115.77421,0.51,1.02,-0.99899614,4.9873834,1,2,2,2,2,2,0,0,0
"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL",41165,648.117,26679424,287.897,19660,18091856,27914.49075,2.1,2.57,0.4783041,1.0688713,2,3,3,2,3,3,0,0,0
"Denver-Aurora-Lakewood, CO","Denver-Aurora-Lakewood, CO",60604,2892.979,175325511,2036.345,19740,187126660,64683.03434,1.595,1.765,0.8363913,1.5290611,1,1,1,1,1,1,1,0,0
"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA",51782,682.085,35319931,478.216,19780,43692327,64057.01196,1.085,1.205,-0.84009665,3.6620333,2,2,2,2,2,2,0,0,0
"Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI",50759,4321.704,219365974,2587.204,19820,233241705,53969.84731,1.085,1.205,0.05446281,1.2411451,2,3,4,2,3,4,0,0,0
"Dothan, AL","Dothan, AL",39194,147.923,5797729,78.563,20020,5055797,34178.57264,1.43,1.56,-0.9431387,4.2563744,2,3,3,2,3,3,0,0,0
"Dover, DE","Dover, DE",40438,176.445,7135135,92.106,20100,6621713,37528.48196,2.1,2.57,0.31534323,2.181916,2,3,4,2,3,3,0,0,0
"Dubuque, IA","Dubuque, IA",46242,97.009,4485869,73.007,20220,5120001,52778.61848,1.1175,1.2325,-0.9588186,4.6055536,2,2,3,2,3,4,0,0,0
"Duluth, MN-WI","Duluth, MN-WI",43835,289.175,12676101,170.506,20260,13587347,46986.58944,1.4,1.525,-0.2934594,2.0149717,2,3,4,2,2,4,0,0,0
"Durham-Chapel Hill, NC","Durham-Chapel Hill, NC",51158,625.865,32018021,434.703,20500,46804056,74782.98994,1.085,1.205,,,1,2,2,1,1,1,0,0,0
"East Stroudsburg, PA","East Stroudsburg, PA",40393,168.089,6789664,77.958,20700,5529321,32895.19838,2.0275,2.4525,,,1,1,1,1,1,1,0,0,0
"Eau Claire, WI","Eau Claire, WI",45188,167.436,7566094,110.621,20740,8260745,49336.73165,1.1775,1.2875,,,2,2,3,2,2,4,0,0,0
"El Centro, CA","El Centro, CA",36537,181.574,6634190,80.123,20940,8189014,45100.1465,1.63,1.81,,,1,1,1,1,1,1,0,1,1
"Elizabethtown-Fort Knox, KY","Elizabethtown-Fort Knox, KY",40922,150.531,6160042,77.349,21060,5349500,35537.53048,1.49,1.63,,,2,3,4,2,3,3,0,0,0
"Elkhart-Goshen, IN","Elkhart-Goshen, IN",45451,204.31,9286181,164.569,21140,11979393,58633.41491,0.51,1.02,-0.8325504,4.0081205,2,3,3,2,3,3,0,0,0
"Elmira, NY","Elmira, NY",42745,84.874,3627943,43.606,21300,3573676,42105.66251,1.0525,1.1775,-0.76975363,3.5560894,2,3,3,2,2,3,0,0,0
"El Paso, TX","El Paso, TX",34228,845.145,28927444,439.417,21340,28207727,33376.19817,1.43,1.56,0.7277706,2.3477886,1,1,1,1,1,1,0,1,1
"Enid, OK","Enid, OK",42493,61.492,2612964,37.566,21420,3345503,54405.4999,,,-0.46963257,3.8586347,1,2,2,1,1,2,0,0,0
"Erie, PA","Erie, PA",42308,273.892,11587938,157.998,21500,10860163,39651.26035,1.02,1.15,-0.6262951,1.6713277,1,2,2,2,1,1,0,0,0
"Eugene-Springfield, OR","Eugene, OR",43960,375.617,16512047,208.647,21660,14683029,39090.42722,1.765,2.0275,0.34311852,1.2243577,2,3,4,2,3,4,0,0,0
"Evansville, IN-KY","Evansville, IN-KY",45436,314.96,14310394,193.728,21780,15856790,50345.40894,1.15,1.26,-1.0457487,3.9929748,2,2,2,2,2,2,0,0,0
"Fairbanks, AK","Fairbanks, AK",53974,99.725,5382588,58.949,21820,5582087,55974.8007,1.765,2.0275,,,1,2,1,1,1,1,0,0,0
"Fargo, ND-MN","Fargo, ND-MN",50639,241.619,12235224,178.477,22020,12667707,52428.43899,1.0525,1.1775,-1.2707556,5.97526,2,3,3,2,3,4,0,0,0
"Farmington, NM","Farmington, NM",33613,126.902,4265534,62.225,22140,6189598,48774.62924,1.2875,1.4,,,1,2,1,1,1,2,0,0,1
"Fayetteville, NC","Fayetteville, NC",35245,517.609,18243302,255.597,22180,19004060,36715.08803,2.0275,2.4525,-0.508336,2.7050788,2,2,2,2,2,3,0,0,0
"Fayetteville-Springdale-Rogers, AR","Fayetteville-Springdale-Rogers, AR-MO",62633,515.633,32295738,314.551,22220,22927117,44464.02189,1.0175,1.2275,-0.40400937,2.064204,2,3,3,2,3,3,1,0,0
"Flagstaff, AZ","Flagstaff, AZ",46662,141.107,6584279,86.713,22380,6753461,47860.5668,1.49,1.63,-0.418257,3.1154153,2,3,3,2,3,4,0,0,0
"Flint, MI","Flint, MI",39380,407.673,16054031,187.742,22420,13162959,32288.03232,1.4,1.525,-0.3153763,2.750336,2,3,4,2,3,4,0,0,0
"Florence, SC","Florence, SC",38644,205.546,7943148,112.609,22500,8824777,42933.34339,1.0525,1.1775,-0.4279859,2.937962,1,2,2,1,1,1,0,0,0
"Florence-Muscle Shoals, AL","Florence-Muscle Shoals, AL",36129,147.1,5314526,75.573,22520,5103322,34692.87559,1.595,1.765,,,2,3,4,2,3,4,0,0,0
"Fond du Lac, WI","Fond du Lac, WI",46203,102.371,4729842,60.115,22540,4721376,46120.2489,1.205,1.315,,,2,3,3,2,2,4,0,0,0
"Fort Collins, CO","Fort Collins, CO",51497,343.993,17714530,233.281,22660,16121584,46866.02344,2.0275,2.4525,0.5740648,1.7872449,1,1,1,1,1,1,0,0,0
"Fort Smith, AR-OK","Fort Smith, AR-OK",36452,249.96,9111482,134.374,22900,8634927,34545.23524,1.15,1.26,-1.0431358,3.3567379,1,2,2,2,1,3,0,0,1
